 ,Distance,Value
1,0.000,48.000
2,0.110,48.644
3,0.220,48.465
4,0.330,48.000
5,0.440,48.000
6,0.550,48.400
7,0.660,51.451
8,0.770,57.760
9,0.880,69.984
10,0.990,92.454
11,1.100,119.354
12,1.210,140.602
13,1.320,146.267
14,1.430,138.906
15,1.540,125.495
16,1.650,114.713
17,1.760,107.894
18,1.870,106.485
19,1.980,113.436
20,2.090,122.903
21,2.200,132.965
22,2.310,137.740
23,2.420,134.619
24,2.530,122.534
25,2.640,107.249
26,2.750,94.176
27,2.860,87.700
28,2.970,90.056
29,3.080,101.621
30,3.190,125.892
31,3.300,155.627
32,3.410,178.130
33,3.520,177.721
34,3.630,160.674
35,3.740,134.763
36,3.850,113.908
37,3.960,101.448
38,4.070,97.025
39,4.180,99.666
40,4.290,106.354
41,4.400,119.475
42,4.510,135.723
43,4.620,153.079
44,4.730,168.129
45,4.840,179.489
46,4.950,188.054
47,5.060,187.782
48,5.170,184.464
49,5.280,176.388
50,5.390,165.655
51,5.500,154.505
52,5.610,145.338
53,5.720,139.261
54,5.830,135.078
55,5.940,133.387
56,6.050,133.953
57,6.160,137.294
58,6.270,145.632
59,6.380,156.254
60,6.490,168.908
61,6.600,181.066
62,6.710,188.343
63,6.820,188.401
64,6.930,178.698
65,7.040,161.621
66,7.150,142.377
67,7.260,126.168
68,7.370,113.822
69,7.480,106.027
70,7.590,101.507
71,7.700,98.866
72,7.810,97.734
73,7.920,98.737
74,8.030,102.089
75,8.140,107.181
76,8.250,114.092
77,8.360,123.030
78,8.470,135.695
79,8.580,152.654
80,8.690,174.026
81,8.800,197.557
82,8.910,218.456
83,9.020,233.363
84,9.130,239.230
85,9.240,239.690
86,9.350,232.899
87,9.460,224.656
88,9.570,214.943
89,9.680,205.264
90,9.790,197.539
91,9.900,191.422
92,10.010,182.426
93,10.120,174.771
94,10.230,166.985
95,10.340,157.987
96,10.450,146.505
97,10.560,133.774
98,10.670,120.539
99,10.780,108.491
100,10.890,97.148
101,11.000,88.557
102,11.110,80.500
103,11.220,75.475
104,11.330,71.312
105,11.440,68.218
106,11.550,66.520
107,11.660,65.045
108,11.770,64.485
109,11.880,65.303
110,11.990,65.436
111,12.100,66.189
112,12.210,67.182
113,12.320,68.738
114,12.430,71.817
115,12.540,76.327
116,12.650,81.943
117,12.760,88.769
118,12.870,99.085
119,12.980,112.982
120,13.090,133.134
121,13.200,160.810
122,13.310,194.203
123,13.420,223.419
124,13.530,243.442
125,13.640,252.762
126,13.750,254.869
127,13.860,255.000
128,13.970,255.000
129,14.080,255.000
130,14.190,254.980
131,14.300,254.836
132,14.410,255.000
133,14.520,254.699
134,14.630,253.057
135,14.740,248.069
136,14.850,238.822
137,14.960,225.347
138,15.070,209.439
139,15.180,192.811
140,15.290,179.116
141,15.400,169.475
142,15.510,164.653
143,15.620,166.039
144,15.730,170.010
145,15.840,173.472
146,15.950,177.099
147,16.060,180.717
148,16.170,181.059
149,16.280,181.554
150,16.390,182.709
151,16.500,183.638
152,16.610,185.306
153,16.720,188.031
154,16.830,193.557
155,16.940,201.877
156,17.050,211.063
157,17.160,219.179
158,17.270,222.460
159,17.380,217.166
160,17.490,205.441
161,17.600,187.257
162,17.710,168.491
163,17.820,149.615
164,17.930,131.636
165,18.040,117.884
166,18.150,106.769
167,18.260,97.939
168,18.370,91.903
169,18.480,88.349
170,18.590,87.065
171,18.700,85.480
172,18.810,83.900
173,18.920,85.532
174,19.030,89.778
175,19.140,96.901
176,19.250,109.413
177,19.360,126.129
178,19.470,148.045
179,19.580,165.439
180,19.690,170.537
181,19.800,158.213
182,19.910,130.060
183,20.020,100.732
184,20.130,78.696
185,20.240,64.521
186,20.350,56.084
187,20.460,50.785
188,20.570,47.673
189,20.680,45.752
190,20.790,44.975
191,20.900,43.931
192,21.010,42.520
193,21.120,41.816
194,21.230,41.000
195,21.340,41.000
196,21.450,41.629
197,21.560,42.341
198,21.670,42.346
199,21.780,42.931
200,21.890,43.767
201,22.000,45.312
202,22.110,46.465
203,22.220,48.000
