 ,Distance,Value
1,0.000,51.000
2,0.110,50.944
3,0.220,51.000
4,0.330,50.850
5,0.440,51.467
6,0.550,52.769
7,0.660,53.838
8,0.770,54.425
9,0.880,55.037
10,0.990,56.166
11,1.100,58.936
12,1.210,64.264
13,1.320,77.334
14,1.430,101.948
15,1.540,138.297
16,1.650,175.540
17,1.760,196.228
18,1.870,193.358
19,1.980,164.347
20,2.090,132.198
21,2.200,109.444
22,2.310,94.370
23,2.420,85.679
24,2.530,78.925
25,2.640,74.717
26,2.750,72.332
27,2.860,70.505
28,2.970,68.679
29,3.080,67.597
30,3.190,66.570
31,3.300,66.534
32,3.410,66.693
33,3.520,66.321
34,3.630,67.675
35,3.740,68.953
36,3.850,70.661
37,3.960,71.686
38,4.070,72.389
39,4.180,73.473
40,4.290,74.708
41,4.400,76.235
42,4.510,77.231
43,4.620,78.993
44,4.730,79.542
45,4.840,79.949
46,4.950,80.357
47,5.060,80.765
48,5.170,80.946
49,5.280,81.078
50,5.390,82.314
51,5.500,84.527
52,5.610,87.587
53,5.720,90.300
54,5.830,92.904
55,5.940,94.349
56,6.050,95.748
57,6.160,96.906
58,6.270,96.740
59,6.380,94.056
60,6.490,88.124
61,6.600,81.698
62,6.710,74.976
63,6.820,70.108
64,6.930,65.459
65,7.040,61.672
66,7.150,59.332
67,7.260,58.072
68,7.370,56.588
69,7.480,55.581
70,7.590,55.516
71,7.700,54.895
72,7.810,54.110
73,7.920,52.979
74,8.030,52.477
75,8.140,52.004
76,8.250,52.034
77,8.360,52.055
78,8.470,51.101
79,8.580,51.000
80,8.690,51.000
81,8.800,51.000
82,8.910,50.693
83,9.020,50.400
84,9.130,50.719
85,9.240,49.554
86,9.350,49.502
87,9.460,48.916
88,9.570,48.856
89,9.680,48.701
90,9.790,49.307
91,9.900,49.871
92,10.010,50.934
93,10.120,50.491
94,10.230,50.018
95,10.340,48.653
96,10.450,48.705
97,10.560,48.825
98,10.670,49.000
99,10.780,48.441
100,10.890,47.831
101,11.000,47.025
102,11.110,47.740
103,11.220,47.152
104,11.330,46.271
105,11.440,44.708
106,11.550,44.000
107,11.660,44.372
108,11.770,45.100
109,11.880,45.209
110,11.990,46.555
111,12.100,47.022
112,12.210,47.887
113,12.320,48.000
114,12.430,48.000
115,12.540,47.581
116,12.650,47.570
117,12.760,48.000
118,12.870,48.061
119,12.980,48.942
120,13.090,48.951
121,13.200,48.296
122,13.310,47.546
123,13.420,47.231
124,13.530,47.000
125,13.640,47.000
126,13.750,47.211
127,13.860,47.996
128,13.970,47.122
129,14.080,46.249
130,14.190,45.375
131,14.300,45.480
132,14.410,45.578
133,14.520,45.309
134,14.630,44.860
135,14.740,44.000
136,14.850,44.000
137,14.960,44.000
138,15.070,44.537
139,15.180,45.000
140,15.290,45.116
141,15.400,44.679
142,15.510,44.000
143,15.620,44.000
144,15.730,44.000
145,15.840,44.000
146,15.950,44.309
147,16.060,44.578
148,16.170,44.480
149,16.280,44.007
150,16.390,44.000
151,16.500,44.000
152,16.610,44.000
153,16.720,44.000
154,16.830,43.643
155,16.940,43.059
156,17.050,43.000
157,17.160,43.093
158,17.270,43.296
159,17.380,44.000
160,17.490,44.000
161,17.600,44.000
162,17.710,43.885
163,17.820,43.116
164,17.930,42.382
165,18.040,42.462
166,18.150,43.686
167,18.260,45.111
168,18.370,45.022
169,18.480,44.555
170,18.590,44.076
171,18.700,44.000
172,18.810,44.628
173,18.920,45.343
174,19.030,46.206
175,19.140,47.848
176,19.250,49.791
177,19.360,52.986
178,19.470,57.036
179,19.580,63.798
180,19.690,74.056
181,19.800,87.458
182,19.910,106.511
183,20.020,127.939
184,20.130,152.888
185,20.240,177.118
186,20.350,199.969
187,20.460,221.987
188,20.570,235.115
189,20.680,245.636
190,20.790,246.566
191,20.900,242.039
192,21.010,229.941
193,21.120,215.669
194,21.230,201.886
195,21.340,191.324
196,21.450,187.037
197,21.560,189.407
198,21.670,196.225
199,21.780,205.473
200,21.890,214.865
201,22.000,219.421
202,22.110,218.542
203,22.220,212.549
204,22.330,204.912
205,22.440,200.924
206,22.550,198.816
207,22.660,201.538
208,22.770,208.204
209,22.880,218.697
210,22.990,231.484
211,23.100,241.158
212,23.210,243.204
213,23.320,236.423
214,23.430,221.855
215,23.540,203.103
216,23.650,184.991
217,23.760,172.778
218,23.870,169.807
219,23.980,173.832
220,24.090,182.579
221,24.200,187.479
222,24.310,183.693
223,24.420,168.305
224,24.530,148.360
225,24.640,127.196
226,24.750,112.393
227,24.860,101.199
228,24.970,95.947
229,25.080,93.623
230,25.190,94.018
231,25.300,97.563
232,25.410,106.224
233,25.520,122.291
234,25.630,144.845
235,25.740,170.909
236,25.850,192.063
237,25.960,195.869
238,26.070,182.862
239,26.180,161.016
240,26.290,138.929
241,26.400,124.604
242,26.510,116.227
243,26.620,117.524
244,26.730,125.428
245,26.840,146.396
246,26.950,177.180
247,27.060,207.753
248,27.170,222.851
249,27.280,210.638
250,27.390,176.814
251,27.500,136.350
252,27.610,103.217
253,27.720,82.848
254,27.830,72.415
255,27.940,67.422
256,28.050,64.112
257,28.160,61.529
258,28.270,58.852
259,28.380,56.751
260,28.490,56.273
261,28.600,54.949
262,28.710,53.228
263,28.820,50.639
264,28.930,47.996
265,29.040,45.903
266,29.150,44.280
267,29.260,43.550
268,29.370,43.271
269,29.480,43.762
270,29.590,44.000
271,29.700,44.259
272,29.810,44.599
273,29.920,44.743
274,30.030,45.425
275,30.140,45.061
276,30.250,43.708
277,30.360,42.297
278,30.470,41.000
